Date;sta1;sta2;sta3;sta4;sta5
2008-01-19 01:00:00;65.7;49.9;;73.3;96.5
2008-01-19 02:00:00;57.7;48.5;43.8;41.4;62.1
2008-01-19 03:00:00;34.1;63.9;46.9;30.7;50.9
2008-01-19 04:00:00;36.4;22.4;18.1;;38.2
2008-01-19 05:00:00;27.1;51.3;23.2;;53.2
2008-01-19 06:00:00;20.9;36.1;26.9;42.4;61.7
2008-01-19 07:00:00;35.2;68.9;17.8;;31.7
2008-01-19 08:00:00;47.1;127.5;32.7;54.6;42.2
2008-01-19 09:00:00;56.6;29.6;19.5;;32.5
2008-01-19 10:00:00;33.7;51.9;14.2;;53
2008-01-19 11:00:00;94;82.9;46.2;44.2;104
2008-01-19 12:00:00;56.4;79.2;26.7;35;65.4
2008-01-19 13:00:00;44.9;72.7;;;98.2
2008-01-19 14:00:00;36.7;90.8;33.3;25.6;94.1
2008-01-19 15:00:00;43.2;84.3;49.8;20.6;76.9
2008-01-19 16:00:00;50.4;73.5;28.1;;92
2008-01-19 17:00:00;22.9;56.1;34.9;;98
2008-01-19 18:00:00;45.5;101.1;12.7;60.8;72.6
2008-01-19 19:00:00;44.9;61.9;49.8;25.3;66.9
2008-01-19 20:00:00;68;59;38.3;34.4;77.3
2008-01-19 21:00:00;34.3;69.2;19.5;55.2;64.6
2008-01-19 22:00:00;43.5;95.6;40.1;;74.2
2008-01-19 23:00:00;31;43.1;51.3;26.3;48.1
2008-01-20 00:00:00;75.5;69.2;;41.4;95.2
2008-01-20 01:00:00;60.2;52.8;11.7;43.5;80.6
2008-01-20 02:00:00;73.4;57.4;28.3;72.8;69.9
2008-01-20 03:00:00;106.7;71.6;32.5;20.7;30
2008-01-20 04:00:00;63.6;58;20.2;;34.8
2008-01-20 05:00:00;47.1;82.1;22.5;23.7;56.4
2008-01-20 06:00:00;64.5;31.8;15.6;38.9;45.3
2008-01-20 07:00:00;43.6;74.9;35;;
2008-01-20 08:00:00;80.7;29.4;23.4;59.2;
2008-01-20 09:00:00;124;48.5;48.5;49.6;60.7
2008-01-20 10:00:00;70.9;46.5;41;62.5;
2008-01-20 11:00:00;43.6;55.5;82.7;47.4;66
2008-01-20 12:00:00;37.3;41.4;;33.9;
2008-01-20 13:00:00;26.8;52;;51.7;
2008-01-20 14:00:00;37.4;;35.8;25.4;
2008-01-20 15:00:00;26.5;36.2;36.2;;73.1
2008-01-20 16:00:00;88.6;34.6;38.3;;
2008-01-20 17:00:00;;57.7;42.6;46.1;62
2008-01-20 18:00:00;51.1;53.3;50.6;79.6;64.9
2008-01-20 19:00:00;66;72.8;56;55.7;68.6
2008-01-20 20:00:00;48.6;184.9;63.2;70.4;65.5
2008-01-20 21:00:00;63.6;80.5;71.7;72.1;47.2
2008-01-20 22:00:00;59.7;128.4;49.8;;26.7
